accuracy,precision,recall,f1_score,confusion_matrix,roc_auc,auprc,mcc,balanced_accuracy,random_auprc,target_idx,n_positives_test,n_positives_total,descriptor
0.5,0.5,1.0,0.6666666666666666,"[[0 3]
 [0 3]]",0.5,0.5,0.0,0.5,0.5,657,0.0,214.0,a1.signaturizer
0.5,0.5,1.0,0.6666666666666666,"[[0 3]
 [0 3]]",0.5,0.5,0.0,0.5,0.5,657,0.0,214.0,b4.signaturizer
0.5,0.5,1.0,0.6666666666666666,"[[0 3]
 [0 3]]",0.5,0.5,0.0,0.5,0.5,657,0.0,214.0,b4.signaturizer3d
1.0,1.0,1.0,1.0,"[[3 0]
 [0 3]]",1.0,1.0,1.0,1.0,0.5,657,0.0,214.0,ecfp4.useChirality
0.5,0.5,1.0,0.6666666666666666,"[[0 3]
 [0 3]]",0.5,0.5,0.0,0.5,0.5,657,0.0,214.0,ecfp4
1.0,1.0,1.0,1.0,"[[3 0]
 [0 3]]",1.0,1.0,1.0,1.0,0.5,657,0.0,214.0,mapc
1.0,1.0,1.0,1.0,"[[3 0]
 [0 3]]",1.0,1.0,1.0,1.0,0.5,657,0.0,214.0,unimol
0.5,0.5,1.0,0.6666666666666666,"[[0 3]
 [0 3]]",0.5,0.5,0.0,0.5,0.5,759,0.0,1740.0,a1.signaturizer
0.5,0.5,1.0,0.6666666666666666,"[[0 3]
 [0 3]]",0.5,0.5,0.0,0.5,0.5,759,0.0,1740.0,b4.signaturizer
1.0,1.0,1.0,1.0,"[[3 0]
 [0 3]]",1.0,1.0,1.0,1.0,0.5,759,0.0,1740.0,b4.signaturizer3d
0.6666666666666666,1.0,0.3333333333333333,0.5,"[[3 0]
 [2 1]]",0.5555555555555556,0.7,0.4472135954999579,0.6666666666666666,0.5,759,0.0,1740.0,ecfp4.useChirality
0.5,0.5,1.0,0.6666666666666666,"[[0 3]
 [0 3]]",0.5,0.5,0.0,0.5,0.5,759,0.0,1740.0,ecfp4
1.0,1.0,1.0,1.0,"[[3 0]
 [0 3]]",1.0,1.0,1.0,1.0,0.5,759,0.0,1740.0,mapc
1.0,1.0,1.0,1.0,"[[3 0]
 [0 3]]",1.0,1.0,1.0,1.0,0.5,759,0.0,1740.0,unimol
0.5555555555555556,0.5555555555555556,1.0,0.7142857142857143,"[[0 4]
 [0 5]]",0.5,0.5555555555555556,0.0,0.5,0.5555555555555556,782,0.0,1476.0,a1.signaturizer
0.5555555555555556,0.5555555555555556,1.0,0.7142857142857143,"[[0 4]
 [0 5]]",0.5,0.5555555555555556,0.0,0.5,0.5555555555555556,782,0.0,1476.0,b4.signaturizer
1.0,1.0,1.0,1.0,"[[4 0]
 [0 5]]",1.0,1.0,1.0,1.0,0.5555555555555556,782,0.0,1476.0,b4.signaturizer3d
0.8888888888888888,0.8333333333333334,1.0,0.9090909090909091,"[[3 1]
 [0 5]]",1.0,1.0,0.7905694150420948,0.875,0.5555555555555556,782,0.0,1476.0,ecfp4.useChirality
0.5555555555555556,0.5555555555555556,1.0,0.7142857142857143,"[[0 4]
 [0 5]]",0.5,0.5555555555555556,0.0,0.5,0.5555555555555556,782,0.0,1476.0,ecfp4
1.0,1.0,1.0,1.0,"[[4 0]
 [0 5]]",1.0,1.0,1.0,1.0,0.5555555555555556,782,0.0,1476.0,mapc
1.0,1.0,1.0,1.0,"[[4 0]
 [0 5]]",1.0,1.0,1.0,1.0,0.5555555555555556,782,0.0,1476.0,unimol
0.6666666666666666,0.6666666666666666,1.0,0.8,"[[0 3]
 [0 6]]",0.5,0.6666666666666666,0.0,0.5,0.6666666666666666,783,0.0,851.0,a1.signaturizer
0.6666666666666666,0.6666666666666666,1.0,0.8,"[[0 3]
 [0 6]]",0.5,0.6666666666666666,0.0,0.5,0.6666666666666666,783,0.0,851.0,b4.signaturizer
1.0,1.0,1.0,1.0,"[[3 0]
 [0 6]]",1.0,1.0,1.0,1.0,0.6666666666666666,783,0.0,851.0,b4.signaturizer3d
1.0,1.0,1.0,1.0,"[[3 0]
 [0 6]]",1.0,0.9999999999999999,1.0,1.0,0.6666666666666666,783,0.0,851.0,ecfp4.useChirality
0.6666666666666666,0.6666666666666666,1.0,0.8,"[[0 3]
 [0 6]]",0.5,0.6666666666666666,0.0,0.5,0.6666666666666666,783,0.0,851.0,ecfp4
1.0,1.0,1.0,1.0,"[[3 0]
 [0 6]]",1.0,1.0,1.0,1.0,0.6666666666666666,783,0.0,851.0,mapc
1.0,1.0,1.0,1.0,"[[3 0]
 [0 6]]",1.0,1.0,1.0,1.0,0.6666666666666666,783,0.0,851.0,unimol
0.4444444444444444,0.4444444444444444,1.0,0.6153846153846154,"[[0 5]
 [0 4]]",0.5,0.4444444444444444,0.0,0.5,0.4444444444444444,801,0.0,667.0,a1.signaturizer
0.5555555555555556,0.0,0.0,0.0,"[[5 0]
 [4 0]]",0.5,0.4444444444444444,0.0,0.5,0.4444444444444444,801,0.0,667.0,b4.signaturizer
1.0,1.0,1.0,1.0,"[[5 0]
 [0 4]]",1.0,1.0,1.0,1.0,0.4444444444444444,801,0.0,667.0,b4.signaturizer3d
1.0,1.0,1.0,1.0,"[[5 0]
 [0 4]]",1.0,1.0,1.0,1.0,0.4444444444444444,801,0.0,667.0,ecfp4.useChirality
0.4444444444444444,0.4444444444444444,1.0,0.6153846153846154,"[[0 5]
 [0 4]]",0.5,0.4444444444444444,0.0,0.5,0.4444444444444444,801,0.0,667.0,ecfp4
1.0,1.0,1.0,1.0,"[[5 0]
 [0 4]]",1.0,1.0,1.0,1.0,0.4444444444444444,801,0.0,667.0,mapc
1.0,1.0,1.0,1.0,"[[5 0]
 [0 4]]",1.0,1.0,1.0,1.0,0.4444444444444444,801,0.0,667.0,unimol
0.4444444444444444,0.4444444444444444,1.0,0.6153846153846154,"[[0 5]
 [0 4]]",0.5,0.4444444444444444,0.0,0.5,0.4444444444444444,968,0.0,414.0,a1.signaturizer
0.5555555555555556,0.0,0.0,0.0,"[[5 0]
 [4 0]]",0.5,0.4444444444444444,0.0,0.5,0.4444444444444444,968,0.0,414.0,b4.signaturizer
1.0,1.0,1.0,1.0,"[[5 0]
 [0 4]]",1.0,1.0,1.0,1.0,0.4444444444444444,968,0.0,414.0,b4.signaturizer3d
1.0,1.0,1.0,1.0,"[[5 0]
 [0 4]]",1.0,1.0,1.0,1.0,0.4444444444444444,968,0.0,414.0,ecfp4.useChirality
0.4444444444444444,0.4444444444444444,1.0,0.6153846153846154,"[[0 5]
 [0 4]]",0.5,0.4444444444444444,0.0,0.5,0.4444444444444444,968,0.0,414.0,ecfp4
1.0,1.0,1.0,1.0,"[[5 0]
 [0 4]]",1.0,1.0,1.0,1.0,0.4444444444444444,968,0.0,414.0,mapc
1.0,1.0,1.0,1.0,"[[5 0]
 [0 4]]",1.0,1.0,1.0,1.0,0.4444444444444444,968,0.0,414.0,unimol
0.6666666666666666,0.0,0.0,0.0,"[[6 0]
 [3 0]]",0.5,0.3333333333333333,0.0,0.5,0.3333333333333333,1261,0.0,1707.0,a1.signaturizer
0.6666666666666666,0.0,0.0,0.0,"[[6 0]
 [3 0]]",0.5,0.3333333333333333,0.0,0.5,0.3333333333333333,1261,0.0,1707.0,b4.signaturizer
1.0,1.0,1.0,1.0,"[[6 0]
 [0 3]]",1.0,1.0,1.0,1.0,0.3333333333333333,1261,0.0,1707.0,b4.signaturizer3d
0.7777777777777778,1.0,0.3333333333333333,0.5,"[[6 0]
 [2 1]]",0.9166666666666667,0.8666666666666667,0.5,0.6666666666666666,0.3333333333333333,1261,0.0,1707.0,ecfp4.useChirality
0.6666666666666666,0.0,0.0,0.0,"[[6 0]
 [3 0]]",0.5,0.3333333333333333,0.0,0.5,0.3333333333333333,1261,0.0,1707.0,ecfp4
1.0,1.0,1.0,1.0,"[[6 0]
 [0 3]]",1.0,1.0,1.0,1.0,0.3333333333333333,1261,0.0,1707.0,mapc
1.0,1.0,1.0,1.0,"[[6 0]
 [0 3]]",1.0,1.0,1.0,1.0,0.3333333333333333,1261,0.0,1707.0,unimol
0.5714285714285714,0.5714285714285714,1.0,0.7272727272727273,"[[0 3]
 [0 4]]",0.5,0.5714285714285714,0.0,0.5,0.5714285714285714,1595,0.0,355.0,a1.signaturizer
0.5714285714285714,0.5714285714285714,1.0,0.7272727272727273,"[[0 3]
 [0 4]]",0.5,0.5714285714285714,0.0,0.5,0.5714285714285714,1595,0.0,355.0,b4.signaturizer
1.0,1.0,1.0,1.0,"[[3 0]
 [0 4]]",1.0,1.0,1.0,1.0,0.5714285714285714,1595,0.0,355.0,b4.signaturizer3d
1.0,1.0,1.0,1.0,"[[3 0]
 [0 4]]",1.0,1.0,1.0,1.0,0.5714285714285714,1595,0.0,355.0,ecfp4.useChirality
0.5714285714285714,0.5714285714285714,1.0,0.7272727272727273,"[[0 3]
 [0 4]]",0.5,0.5714285714285714,0.0,0.5,0.5714285714285714,1595,0.0,355.0,ecfp4
1.0,1.0,1.0,1.0,"[[3 0]
 [0 4]]",1.0,1.0,1.0,1.0,0.5714285714285714,1595,0.0,355.0,mapc
1.0,1.0,1.0,1.0,"[[3 0]
 [0 4]]",1.0,1.0,1.0,1.0,0.5714285714285714,1595,0.0,355.0,unimol
0.42857142857142855,0.42857142857142855,1.0,0.6,"[[0 4]
 [0 3]]",0.5,0.42857142857142855,0.0,0.5,0.42857142857142855,1651,0.0,1049.0,a1.signaturizer
0.42857142857142855,0.42857142857142855,1.0,0.6,"[[0 4]
 [0 3]]",0.5,0.42857142857142855,0.0,0.5,0.42857142857142855,1651,0.0,1049.0,b4.signaturizer
1.0,1.0,1.0,1.0,"[[4 0]
 [0 3]]",1.0,1.0,1.0,1.0,0.42857142857142855,1651,0.0,1049.0,b4.signaturizer3d
0.8571428571428571,0.75,1.0,0.8571428571428571,"[[3 1]
 [0 3]]",1.0,1.0,0.75,0.875,0.42857142857142855,1651,0.0,1049.0,ecfp4.useChirality
0.5714285714285714,0.0,0.0,0.0,"[[4 0]
 [3 0]]",0.5,0.42857142857142855,0.0,0.5,0.42857142857142855,1651,0.0,1049.0,ecfp4
1.0,1.0,1.0,1.0,"[[4 0]
 [0 3]]",1.0,1.0,1.0,1.0,0.42857142857142855,1651,0.0,1049.0,mapc
1.0,1.0,1.0,1.0,"[[4 0]
 [0 3]]",1.0,1.0,1.0,1.0,0.42857142857142855,1651,0.0,1049.0,unimol
0.42857142857142855,0.42857142857142855,1.0,0.6,"[[0 4]
 [0 3]]",0.5,0.42857142857142855,0.0,0.5,0.42857142857142855,1680,0.0,1837.0,a1.signaturizer
0.42857142857142855,0.42857142857142855,1.0,0.6,"[[0 4]
 [0 3]]",0.5,0.42857142857142855,0.0,0.5,0.42857142857142855,1680,0.0,1837.0,b4.signaturizer
1.0,1.0,1.0,1.0,"[[4 0]
 [0 3]]",1.0,1.0,1.0,1.0,0.42857142857142855,1680,0.0,1837.0,b4.signaturizer3d
0.8571428571428571,0.75,1.0,0.8571428571428571,"[[3 1]
 [0 3]]",1.0,1.0,0.75,0.875,0.42857142857142855,1680,0.0,1837.0,ecfp4.useChirality
0.42857142857142855,0.42857142857142855,1.0,0.6,"[[0 4]
 [0 3]]",0.5,0.42857142857142855,0.0,0.5,0.42857142857142855,1680,0.0,1837.0,ecfp4
1.0,1.0,1.0,1.0,"[[4 0]
 [0 3]]",1.0,1.0,1.0,1.0,0.42857142857142855,1680,0.0,1837.0,mapc
1.0,1.0,1.0,1.0,"[[4 0]
 [0 3]]",1.0,1.0,1.0,1.0,0.42857142857142855,1680,0.0,1837.0,unimol
0.5714285714285714,0.5714285714285714,1.0,0.7272727272727273,"[[0 3]
 [0 4]]",0.5,0.5714285714285714,0.0,0.5,0.5714285714285714,1682,0.0,2501.0,a1.signaturizer
0.5714285714285714,0.5714285714285714,1.0,0.7272727272727273,"[[0 3]
 [0 4]]",0.5,0.5714285714285714,0.0,0.5,0.5714285714285714,1682,0.0,2501.0,b4.signaturizer
1.0,1.0,1.0,1.0,"[[3 0]
 [0 4]]",1.0,1.0,1.0,1.0,0.5714285714285714,1682,0.0,2501.0,b4.signaturizer3d
0.5714285714285714,0.5714285714285714,1.0,0.7272727272727273,"[[0 3]
 [0 4]]",0.9166666666666667,0.95,0.0,0.5,0.5714285714285714,1682,0.0,2501.0,ecfp4.useChirality
0.5714285714285714,0.5714285714285714,1.0,0.7272727272727273,"[[0 3]
 [0 4]]",0.5,0.5714285714285714,0.0,0.5,0.5714285714285714,1682,0.0,2501.0,ecfp4
1.0,1.0,1.0,1.0,"[[3 0]
 [0 4]]",1.0,1.0,1.0,1.0,0.5714285714285714,1682,0.0,2501.0,mapc
1.0,1.0,1.0,1.0,"[[3 0]
 [0 4]]",1.0,1.0,1.0,1.0,0.5714285714285714,1682,0.0,2501.0,unimol
0.6,0.0,0.0,0.0,"[[6 0]
 [4 0]]",0.5,0.4,0.0,0.5,0.4,1701,0.0,195.0,a1.signaturizer
0.6,0.0,0.0,0.0,"[[6 0]
 [4 0]]",0.5,0.4,0.0,0.5,0.4,1701,0.0,195.0,b4.signaturizer
1.0,1.0,1.0,1.0,"[[6 0]
 [0 4]]",1.0,1.0,1.0,1.0,0.4,1701,0.0,195.0,b4.signaturizer3d
0.6,0.5,0.5,0.5,"[[4 2]
 [2 2]]",0.8333333333333334,0.8166666666666667,0.16666666666666666,0.5833333333333333,0.4,1701,0.0,195.0,ecfp4.useChirality
0.6,0.0,0.0,0.0,"[[6 0]
 [4 0]]",0.5,0.4,0.0,0.5,0.4,1701,0.0,195.0,ecfp4
1.0,1.0,1.0,1.0,"[[6 0]
 [0 4]]",1.0,1.0,1.0,1.0,0.4,1701,0.0,195.0,mapc
1.0,1.0,1.0,1.0,"[[6 0]
 [0 4]]",1.0,1.0,1.0,1.0,0.4,1701,0.0,195.0,unimol
0.5714285714285714,0.0,0.0,0.0,"[[4 0]
 [3 0]]",0.5,0.42857142857142855,0.0,0.5,0.42857142857142855,1730,0.0,3908.0,a1.signaturizer
0.5714285714285714,0.0,0.0,0.0,"[[4 0]
 [3 0]]",0.5,0.42857142857142855,0.0,0.5,0.42857142857142855,1730,0.0,3908.0,b4.signaturizer
1.0,1.0,1.0,1.0,"[[4 0]
 [0 3]]",1.0,1.0,1.0,1.0,0.42857142857142855,1730,0.0,3908.0,b4.signaturizer3d
0.5714285714285714,0.0,0.0,0.0,"[[4 0]
 [3 0]]",0.75,0.5888888888888889,0.0,0.5,0.42857142857142855,1730,0.0,3908.0,ecfp4.useChirality
0.5714285714285714,0.0,0.0,0.0,"[[4 0]
 [3 0]]",0.5,0.42857142857142855,0.0,0.5,0.42857142857142855,1730,0.0,3908.0,ecfp4
1.0,1.0,1.0,1.0,"[[4 0]
 [0 3]]",1.0,1.0,1.0,1.0,0.42857142857142855,1730,0.0,3908.0,mapc
1.0,1.0,1.0,1.0,"[[4 0]
 [0 3]]",1.0,1.0,1.0,1.0,0.42857142857142855,1730,0.0,3908.0,unimol
0.42857142857142855,0.42857142857142855,1.0,0.6,"[[0 4]
 [0 3]]",0.5,0.42857142857142855,0.0,0.5,0.42857142857142855,1830,0.0,1997.0,a1.signaturizer
0.42857142857142855,0.42857142857142855,1.0,0.6,"[[0 4]
 [0 3]]",0.5,0.42857142857142855,0.0,0.5,0.42857142857142855,1830,0.0,1997.0,b4.signaturizer
1.0,1.0,1.0,1.0,"[[4 0]
 [0 3]]",1.0,1.0,1.0,1.0,0.42857142857142855,1830,0.0,1997.0,b4.signaturizer3d
0.8571428571428571,0.75,1.0,0.8571428571428571,"[[3 1]
 [0 3]]",1.0,1.0,0.75,0.875,0.42857142857142855,1830,0.0,1997.0,ecfp4.useChirality
0.42857142857142855,0.42857142857142855,1.0,0.6,"[[0 4]
 [0 3]]",0.5,0.42857142857142855,0.0,0.5,0.42857142857142855,1830,0.0,1997.0,ecfp4
1.0,1.0,1.0,1.0,"[[4 0]
 [0 3]]",1.0,1.0,1.0,1.0,0.42857142857142855,1830,0.0,1997.0,mapc
1.0,1.0,1.0,1.0,"[[4 0]
 [0 3]]",1.0,1.0,1.0,1.0,0.42857142857142855,1830,0.0,1997.0,unimol
0.5,0.0,0.0,0.0,"[[3 0]
 [3 0]]",0.5,0.5,0.0,0.5,0.5,2224,0.0,8.0,a1.signaturizer
0.5,0.0,0.0,0.0,"[[3 0]
 [3 0]]",0.5,0.5,0.0,0.5,0.5,2224,0.0,8.0,b4.signaturizer
0.5,0.0,0.0,0.0,"[[3 0]
 [3 0]]",0.5,0.5,0.0,0.5,0.5,2224,0.0,8.0,b4.signaturizer3d
0.8333333333333334,0.75,1.0,0.8571428571428571,"[[2 1]
 [0 3]]",0.9444444444444444,0.9166666666666666,0.7071067811865476,0.8333333333333333,0.5,2224,0.0,8.0,ecfp4.useChirality
0.5,0.5,1.0,0.6666666666666666,"[[0 3]
 [0 3]]",0.5,0.5,0.0,0.5,0.5,2224,0.0,8.0,ecfp4
1.0,1.0,1.0,1.0,"[[3 0]
 [0 3]]",1.0,1.0,1.0,1.0,0.5,2224,0.0,8.0,mapc
1.0,1.0,1.0,1.0,"[[3 0]
 [0 3]]",1.0,1.0,1.0,1.0,0.5,2224,0.0,8.0,unimol
0.5,0.0,0.0,0.0,"[[3 0]
 [3 0]]",0.5,0.5,0.0,0.5,0.5,2345,0.0,1337.0,a1.signaturizer
0.5,0.0,0.0,0.0,"[[3 0]
 [3 0]]",0.5,0.5,0.0,0.5,0.5,2345,0.0,1337.0,b4.signaturizer
1.0,1.0,1.0,1.0,"[[3 0]
 [0 3]]",1.0,1.0,1.0,1.0,0.5,2345,0.0,1337.0,b4.signaturizer3d
1.0,1.0,1.0,1.0,"[[3 0]
 [0 3]]",1.0,1.0,1.0,1.0,0.5,2345,0.0,1337.0,ecfp4.useChirality
0.5,0.5,1.0,0.6666666666666666,"[[0 3]
 [0 3]]",0.5,0.5,0.0,0.5,0.5,2345,0.0,1337.0,ecfp4
1.0,1.0,1.0,1.0,"[[3 0]
 [0 3]]",1.0,1.0,1.0,1.0,0.5,2345,0.0,1337.0,mapc
1.0,1.0,1.0,1.0,"[[3 0]
 [0 3]]",1.0,1.0,1.0,1.0,0.5,2345,0.0,1337.0,unimol
